run,dataset,lr,n_head,dropout,weight_decay,n_layer,dimension,context_len,train_loss,test_loss,train_acc,test_acc,train_recall,test_recall,train_precision,test_precision,train_f1,test_f1
8000_6_128_100_8_0.5_0.1,8000,0.0003,8,0.5,0.1,6,128,100,3.2667,5.0371,0.2805,0.0891,0.2805,0.0891,0.2805,0.0891,0.2805,0.0891
8000_6_128_100_8_0.5_0.01,8000,0.0003,8,0.5,0.01,6,128,100,3.2673,5.0633,0.2798,0.0886,0.2798,0.0886,0.2798,0.0886,0.2798,0.0886
8000_6_128_100_8_0.5_0.001,8000,0.0003,8,0.5,0.001,6,128,100,3.265,5.0626,0.28,0.0886,0.28,0.0886,0.28,0.0886,0.28,0.0886
8000_6_128_100_8_0.6_0.1,8000,0.0003,8,0.6,0.1,6,128,100,3.8156,5.1289,0.203,0.0784,0.203,0.0784,0.203,0.0784,0.203,0.0784
8000_6_128_100_8_0.6_0.01,8000,0.0003,8,0.6,0.01,6,128,100,3.8173,5.1877,0.2022,0.0781,0.2022,0.0781,0.2022,0.0781,0.2022,0.0781
8000_6_128_100_8_0.6_0.001,8000,0.0003,8,0.6,0.001,6,128,100,3.814,5.1736,0.2024,0.08,0.2024,0.08,0.2024,0.08,0.2024,0.08
8000_6_128_150_8_0.5_0.1,8000,0.0003,8,0.5,0.1,6,128,150,5.2792,6.8301,0.1397,0.0257,0.1397,0.0257,0.1397,0.0257,0.1397,0.0257
8000_6_128_150_8_0.5_0.01,8000,0.0003,8,0.5,0.01,6,128,150,5.2694,6.8063,0.1386,0.0204,0.1386,0.0204,0.1386,0.0204,0.1386,0.0204
8000_6_128_150_8_0.5_0.001,8000,0.0003,8,0.5,0.001,6,128,150,5.2541,6.7892,0.1484,0.0195,0.1484,0.0195,0.1484,0.0195,0.1484,0.0195
8000_6_128_150_8_0.6_0.1,8000,0.0003,8,0.6,0.1,6,128,150,5.5959,6.8713,0.0878,0.0186,0.0878,0.0186,0.0878,0.0186,0.0878,0.0186
8000_6_128_150_8_0.6_0.01,8000,0.0003,8,0.6,0.01,6,128,150,5.6181,6.8793,0.0861,0.016,0.0861,0.016,0.0861,0.016,0.0861,0.016
8000_6_128_150_8_0.6_0.001,8000,0.0003,8,0.6,0.001,6,128,150,5.5852,6.8855,0.0905,0.0177,0.0905,0.0177,0.0905,0.0177,0.0905,0.0177
